,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
177,280360,KR7280360009,롯데웰푸드,KOSPI,,187000,2,-1500,-0.8,192800,198500,186300,64449,12432371100,1764265338000,9434574,STK
178,010060,KR7010060002,OCI홀딩스,KOSPI,,89900,1,100,0.11,89600,91500,89600,37740,3409352800,1758802071700,19563983,STK
179,240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,35300,2,-1200,-3.29,36550,36800,35300,216391,7740866800,1732661705300,49083901,KSQ
180,103140,KR7103140000,풍산,KOSPI,,61700,1,3000,5.11,59500,63400,59300,802881,49565191800,1729097952600,28024278,STK
181,009420,KR7009420001,한올바이오파마,KOSPI,,33000,3,0,0.0,32750,33700,32650,135932,4531462150,1723941054000,52240638,STK
182,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,35050,2,-1550,-4.23,36750,38250,35000,1553846,56982009000,1691134880600,48249212,KSQ
183,417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,24850,2,-250,-1.0,25350,25450,24750,514711,12869993050,1681168576150,67652659,KSQ
184,051600,KR7051600005,한전KPS,KOSPI,,37000,2,-200,-0.54,37650,37700,36850,141923,5284403000,1665000000000,45000000,STK
185,018670,KR7018670000,SK가스,KOSPI,,178400,1,3200,1.83,176500,180700,173600,13629,2425477700,1646675529600,9230244,STK
186,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,77500,2,-1100,-1.4,80800,80800,76900,167300,13103695700,1624714340000,20964056,KSQ
187,042670,KR7042670000,HD현대인프라코어,KOSPI,,8090,1,100,1.25,8050,8160,8030,944005,7640458270,1614791934770,199603453,STK
188,139480,KR7139480008,이마트,KOSPI,,57400,1,500,0.88,56900,58000,56900,123058,7069713000,1600072010600,27875819,STK
189,011210,KR7011210002,현대위아,KOSPI,,58800,2,-400,-0.68,59700,59700,58500,82604,4868588000,1599070880400,27195083,STK
190,161890,KR7161890009,한국콜마,KOSPI,,67700,2,-900,-1.31,69800,71400,67500,367271,25500372200,1598063712900,23605077,STK
191,047040,KR7047040001,대우건설,KOSPI,,3825,1,120,3.24,3710,3890,3690,2565304,9822175790,1589756590350,415622638,STK
192,178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,28500,1,150,0.53,28400,29350,27950,460898,13229639050,1587519055500,55702423,KSQ
193,298050,KR7298050006,효성첨단소재,KOSPI,,353500,1,4000,1.14,349500,358500,345000,21273,7543663500,1583661618000,4479948,STK
194,004170,KR7004170007,신세계,KOSPI,,160100,1,3400,2.17,156700,160400,156500,23244,3693764600,1576213478100,9845181,STK
195,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,72500,2,-4000,-5.23,76300,77900,72400,370761,27476287400,1563273637500,21562395,KSQ
196,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,26600,2,-2100,-7.32,27600,28300,26250,1559832,42229595800,1538769195600,57848466,KSQ
197,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,130600,2,-7500,-5.43,136800,137000,130200,68754,9117188000,1524755000000,11675000,KSQ
198,111770,KR7111770004,영원무역,KOSPI,,34350,1,900,2.69,33450,34450,33400,74369,2527703850,1522098925800,44311468,STK
199,004490,KR7004490009,세방전지,KOSPI,,108700,2,-3700,-3.29,111600,112200,107300,52694,5756105200,1521800000000,14000000,STK
200,298020,KR7298020009,효성티앤씨,KOSPI,,348500,2,-4500,-1.27,353000,358500,347500,13007,4554363500,1508197177000,4327682,STK
201,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,18370,2,-1160,-5.94,19740,19740,18320,2997440,56550114660,1507173079500,82045350,KSQ
202,121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,123200,2,-700,-0.56,123900,127000,122300,102397,12711162400,1502556809600,12196078,KSQ
203,457190,KR7457190007,이수스페셜티케미컬,KOSPI,,49550,2,-3050,-5.8,52300,53100,49000,374187,18948475100,1496820274000,30208280,STK
204,214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,143000,1,4200,3.03,139800,144600,138700,178795,25551437000,1489062289000,10413023,KSQ
205,002710,KR7002710002,TCC스틸,KOSPI,,56700,1,700,1.25,57000,59700,56200,298985,17280433300,1486316619900,26213697,STK
206,000080,KR7000080002,하이트진로,KOSPI,,20850,2,-350,-1.65,21450,21900,20800,474746,10132923250,1462285789350,70133611,STK
207,000240,KR7000240002,한국앤컴퍼니,KOSPI,,15400,1,190,1.25,15210,15410,15160,28829,440741250,1462002696000,94935240,STK
208,336260,KR7336260005,두산퓨얼셀,KOSPI,,22250,1,150,0.68,22350,22700,22100,428321,9568335150,1457235403500,65493726,STK
209,112040,KR7112040001,위메이드,KOSDAQ,중견기업부,41750,1,600,1.46,41250,42650,41200,145507,6100411900,1417349165250,33948483,KSQ
210,095340,KR7095340006,ISC,KOSDAQ,우량기업부,66700,2,-1400,-2.06,68500,68500,66600,115706,7797562800,1413843768600,21197058,KSQ
211,014820,KR7014820005,동원시스템즈,KOSPI,,48650,1,300,0.62,48800,49900,48400,87364,4305863650,1410425869300,28991282,STK
212,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,48000,1,100,0.21,48000,48850,47900,128043,6171382450,1383870240000,28830630,KSQ
213,006280,KR7006280002,녹십자,KOSPI,,117300,1,2200,1.91,115100,117700,115100,9932,1161285500,1370830907400,11686538,STK
214,139130,KR7139130009,DGB금융지주,KOSPI,,8010,1,80,1.01,7890,8020,7880,298152,2374290230,1354858122330,169145833,STK
215,375500,KR7375500006,DL이앤씨,KOSPI,,34550,1,550,1.62,34000,36100,33600,299456,10492431650,1336864674650,38693623,STK
216,067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,115700,1,9900,9.36,107100,117000,106700,268395,30488989900,1329944541900,11494767,KSQ
217,185750,KR7185750007,종근당,KOSPI,,100500,1,100,0.1,100400,102000,99800,20021,2019375300,1324029210000,13174420,STK
218,009240,KR7009240003,한샘,KOSPI,,55800,1,1000,1.82,55000,56000,54500,16177,895477300,1313193182400,23533928,STK
219,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,34550,1,1150,3.44,33550,35200,33350,410394,14223467200,1312691490750,37993965,KSQ
220,003690,KR7003690005,코리안리,KOSPI,,7910,1,110,1.41,7890,7950,7800,181326,1427816870,1308057130660,165367526,STK
221,140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,186500,2,-5200,-2.71,190000,191000,180000,18318,3437799200,1301874253500,6980559,KSQ
222,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,24150,1,1200,5.23,23200,24400,22900,192377,4604125800,1297217250000,53715000,KSQ
223,006040,KR7006040000,동원산업,KOSPI,,35950,1,50,0.14,35550,36200,35500,34073,1222395850,1294987125250,36021895,STK
224,006360,KR7006360002,GS건설,KOSPI,,15120,1,220,1.48,14900,15210,14770,253922,3823385450,1293992128800,85581490,STK
225,034230,KR7034230003,파라다이스,KOSDAQ,우량기업부,14060,1,160,1.15,13900,14070,13870,214460,2995481590,1290309019380,91771623,KSQ
