rank,Code,Name,Marcap,Market
51,443060,HD현대마린솔루션,8863575042000,KOSPI
52,028050,삼성E&A,8849400000000,KOSPI
53,277810,레인보우로보틱스,8807535532000,KOSDAQ
54,161390,한국타이어앤테크놀로지,8175754554000,KOSPI
55,090430,아모레퍼시픽,8072000742000,KOSPI
56,180640,한진칼,7871272694100,KOSPI
57,007660,이수페타시스,7289535446700,KOSPI
58,352820,하이브,7237637764400,KOSPI
59,009830,한화솔루션,7207805778800,KOSPI
60,064400,LG씨엔에스,6937033876800,KOSPI
61,021240,코웨이,6786596153400,KOSPI
62,000100,유한양행,6554997562300,KOSPI
63,326030,SK바이오팜,6554819025000,KOSPI
64,047040,대우건설,6545758673340,KOSPI
65,032640,LG유플러스,6311240374840,KOSPI
66,377300,카카오페이,5749089112500,KOSPI
67,241560,두산밥캣,5550066163500,KOSPI
68,267270,HD건설기계,5534979103500,KOSPI
69,128940,한미약품,5322966760500,KOSPI
70,001440,대한전선,5223202683400,KOSPI
71,353200,대덕전자,5154185277500,KOSPI
72,028300,HLB,5148111318950,KOSDAQ
73,062040,산일전기,5049941680000,KOSPI
74,039030,이오테크닉스,4983257975000,KOSDAQ
75,271560,오리온,4956910015200,KOSPI
76,036570,NC,4836632939000,KOSPI
77,034220,LG디스플레이,4750000000000,KOSPI
78,000500,가온전선,4710817427400,KOSPI
