Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,810000,2,-31000,-3.69,847000,915000,780000,381329,325250727000,15713884980000,19399858,KSQ
047810,KR7047810007,한국항공우주,KOSPI,,161100,2,-11100,-6.45,170100,174100,159400,749589,124029293845,15703239737700,97475107,STK
278470,KR7278470000,에이피알,KOSPI,,404000,2,-21000,-4.94,428000,437000,397500,235935,97087600000,15125014620000,37438155,STK
030200,KR7030200000,KT,KOSPI,,58700,2,-2900,-4.71,60600,60700,58000,630265,37162130750,14793672909500,252021685,STK
006260,KR7006260004,LS,KOSPI,,472500,2,-32500,-6.44,501000,502000,460000,318123,151877301750,14742000000000,31200000,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,189000,1,6100,3.34,185500,212000,181900,1871174,369238760568,14624404200000,77377800,STK
071050,KR7071050009,한국금융지주,KOSPI,,258000,3,0,0.0,270500,283000,251500,649627,174116754750,14377305936000,55725992,STK
259960,KR7259960003,크래프톤,KOSPI,,279000,2,-14500,-4.94,296500,296500,277500,169967,48460439750,13226920164000,47408316,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,71900,2,-2700,-3.62,75100,76500,70700,566518,41643265850,12648848457200,175922788,STK
010950,KR7010950004,S-Oil,KOSPI,,112100,2,-2900,-2.52,114100,118200,111000,425932,48546127100,12620530983200,112582792,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,507000,2,-20000,-3.8,528000,529000,498000,56390,28829307500,12615705843000,24883049,STK
047040,KR7047040001,대우건설,KOSPI,,28500,2,-4100,-12.58,33100,33200,27800,14461597,426391547700,11710867683000,410907638,STK
005940,KR7005940002,NH투자증권,KOSPI,,32550,2,-2450,-7.0,35450,35900,32050,1051237,35036897750,11599009210950,356344369,STK
001440,KR7001440007,대한전선,KOSPI,,60000,2,-5500,-8.4,65500,65600,58600,6907764,420493883050,11186838000000,186447300,STK
016360,KR7016360000,삼성증권,KOSPI,,123200,2,-6800,-5.23,131900,134400,120600,924999,116012353750,11001760000000,89300000,STK
003230,KR7003230000,삼양식품,KOSPI,,1444000,1,5000,0.35,1452000,1484000,1408000,87310,126294445500,10877673660000,7533015,STK
005830,KR7005830005,DB손해보험,KOSPI,,164500,2,-8500,-4.91,172000,174500,158300,282780,46627971600,10774807410500,65500349,STK
323410,KR7323410001,카카오뱅크,KOSPI,,22450,2,-1150,-4.87,23250,23350,22250,975340,22036720700,10711353810650,477120437,STK
352820,KR7352820005,하이브,KOSPI,,244000,2,-3000,-1.21,250000,255000,240000,385955,96142844250,10516948756000,43102249,STK
039490,KR7039490008,키움증권,KOSPI,,396000,2,-24000,-5.71,430000,435500,388000,184310,75052571000,10386413136000,26228316,STK
000880,KR7000880005,한화,KOSPI,,141400,2,-3800,-2.62,149500,166400,137600,732532,111233847450,9969819746600,70507919,STK
028050,KR7028050003,삼성E&A,KOSPI,,50600,2,-4100,-7.5,55500,55600,49500,2899526,150413610400,9917600000000,196000000,STK
005387,KR7005382007,현대차2우B,KOSPI,,279500,2,-6500,-2.27,288500,307750,274000,422991,123268080750,9772418435000,34963930,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,215500,2,-6500,-2.93,223500,230000,208500,394222,85733183500,9661610630000,44833460,STK
003490,KR7003490000,대한항공,KOSPI,,26050,2,-1250,-4.58,27050,27100,25650,2368660,62377034275,9592148219050,368220661,STK
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),111600,2,-2700,-2.36,115600,116100,108200,563568,63281894450,9456543180000,84736050,KSQ
007660,KR7007660004,이수페타시스,KOSPI,,128000,2,-4500,-3.4,139100,142800,125000,1641507,221566046450,9396380032000,73409219,STK
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,388000,2,-17000,-4.2,400500,404500,375500,214013,83169386000,9101499136000,23457472,KSQ
064400,KR7064400005,LG씨엔에스,KOSPI,,86600,1,500,0.58,93700,99400,83500,7333668,670128606850,8390323096800,96885948,STK
454910,KR7454910001,두산로보틱스,KOSPI,,127400,1,20600,19.29,110600,138800,109500,8437915,1079484363100,8258065452000,64819980,STK
062040,KR7062040001,산일전기,KOSPI,,268500,2,-25000,-8.52,290000,291500,261000,604885,164407618250,8220355725000,30615850,STK
180640,KR7180640005,한진칼,KOSPI,,119200,2,-3900,-3.17,119500,122100,116100,169959,20208988800,7958063656800,66762279,STK
267270,KR7267270007,HD건설기계,KOSPI,,162400,2,-9500,-5.53,174500,175000,159000,392932,64758096450,7790996763200,47974118,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,62200,1,400,0.65,61800,63300,61000,609490,37920704700,7705029291800,123875069,STK
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,101000,2,-13200,-11.56,112400,112500,100100,1245260,130460194800,7697396850000,76211850,KSQ
326030,KR7326030004,SK바이오팜,KOSPI,,96600,2,-5800,-5.66,102100,102200,95500,319558,31432341400,7565059950000,78313250,STK
078930,KR7078930005,GS,KOSPI,,77300,1,2600,3.48,75500,86700,75500,969065,78027296250,7182358719400,92915378,STK
090430,KR7090430000,아모레퍼시픽,KOSPI,,122000,2,-8200,-6.3,128700,128700,120300,350708,43122043800,7136116598000,58492759,STK
000990,KR7000990002,DB하이텍,KOSPI,,163500,2,-19300,-10.56,181000,184000,162100,841608,142130877400,7113000138000,43504588,STK
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,191400,2,-4500,-2.3,198200,203500,185200,418288,81669029050,7085516605200,37019418,KSQ
034220,KR7034220004,LG디스플레이,KOSPI,,14100,2,-1240,-8.08,15910,16800,13730,35947712,558327010285,7050000000000,500000000,STK
009830,KR7009830001,한화솔루션,KOSPI,,40600,2,-7200,-15.06,46850,46900,40000,4540404,190557743450,6978836961600,171892536,STK
032640,KR7032640005,LG유플러스,KOSPI,,16210,2,-390,-2.35,16900,16900,15910,1495623,24389805560,6967517634550,429828355,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,51900,2,-1300,-2.44,54400,54500,50800,750575,39084118400,6912212076300,133183277,KSQ
377300,KR7377300009,카카오페이,KOSPI,,51100,2,-6700,-11.59,55800,55800,50000,751368,39108449400,6911595652500,135256275,STK
000100,KR7000100008,유한양행,KOSPI,,86000,2,-3400,-3.8,90200,90500,85100,378828,33030926950,6849693686000,79647601,STK
353200,KR7353200009,대덕전자,KOSPI,,135800,2,-8800,-6.09,145000,147400,123500,713696,97967925900,6710818415000,49416925,STK
021240,KR7021240007,코웨이,KOSPI,,94700,2,-1500,-1.56,96200,97400,93600,579237,55478804242,6701675242200,70767426,STK
241560,KR7241560002,두산밥캣,KOSPI,,69700,2,-1800,-2.52,71700,72300,68700,460501,32490494150,6681167730500,95856065,STK
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,119300,2,-6300,-5.02,126000,126900,116300,583433,70427105850,6679304335900,55987463,KSQ
005385,KR7005381009,현대차우,KOSPI,,280000,2,-4000,-1.41,287500,306500,274000,276289,80360002000,6535468800000,23340960,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,140200,2,-27800,-16.55,177500,183500,136100,3427204,510671260750,6516653164200,46481121,KSQ
066970,KR7066970005,엘앤에프,KOSPI,,160200,2,-11500,-6.7,171500,176600,156000,633101,104371009250,6480969017400,40455487,STK
001040,KR7001040005,CJ,KOSPI,,217000,1,4000,1.88,213500,232500,213500,247720,55418281500,6331408566000,29176998,STK
004020,KR7004020004,현대제철,KOSPI,,46150,1,200,0.44,46050,50200,44750,3739416,178202565550,6158522977750,133445785,STK
128940,KR7128940004,한미약품,KOSPI,,472500,1,23000,5.12,455000,506000,451000,292081,141045113000,6053193247500,12810991,STK
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,259500,2,-7000,-2.63,266000,266500,251000,162798,42236073250,6050852325000,23317350,KSQ
082740,KR7082740002,한화엔진,KOSPI,,71600,2,-5800,-7.49,78400,78500,70100,1008860,73675232100,5974815367200,83447142,STK
029780,KR7029780004,삼성카드,KOSPI,,50800,2,-200,-0.39,50700,52000,49350,336215,17009590025,5885631662800,115858891,STK
036570,KR7036570000,NC,KOSPI,,271500,2,-7500,-2.69,276500,282500,268500,122135,33543370500,5849201973000,21544022,STK
103590,KR7103590006,일진전기,KOSPI,,119100,2,-14200,-10.65,132200,133200,116500,852881,103772623250,5679329949000,47685390,STK
240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,114700,2,-12700,-9.97,127800,128300,113000,644523,76916888400,5629923444700,49083901,KSQ
052690,KR7052690005,한전기술,KOSPI,,146900,2,-8000,-5.16,157600,157700,144000,262333,39051580450,5614518000000,38220000,STK
000500,KR7000500009,가온전선,KOSPI,,338500,2,-60500,-15.16,399000,402000,308000,383633,129471921750,5599844427500,16543115,STK
271560,KR7271560005,오리온,KOSPI,,141000,2,-2200,-1.54,143200,145300,139100,123938,17518261350,5574594612000,39536132,STK
336260,KR7336260005,두산퓨얼셀,KOSPI,,84500,2,-7500,-8.15,90300,94700,82000,801522,69806799950,5534219847000,65493726,STK
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,442000,2,-37000,-7.72,479500,482000,442000,133225,62108861250,5445241100000,12319550,KSQ
010060,KR7010060002,OCI홀딩스,KOSPI,,291000,2,-73500,-20.16,364500,365000,282000,1073031,319618318250,5433037512000,18670232,STK
138930,KR7138930003,BNK금융지주,KOSPI,,17320,2,-180,-1.03,17440,17700,17110,2012891,34931157815,5374864211560,310327033,STK
088980,KR7088980008,맥쿼리인프라,KOSPI,,11180,2,-70,-0.62,11250,11300,11160,1964974,22026845605,5354347881740,478921993,STK
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,97700,2,-4100,-4.03,102400,102500,94000,99828,9817897200,5247955500000,53715000,KSQ
018880,KR7018880005,한온시스템,KOSPI,,5050,1,50,1.0,5120,5590,4950,61764068,328123714110,5182625887600,1026262552,STK
022100,KR7022100002,포스코DX,KOSPI,,33700,2,-1950,-5.47,36200,38000,32800,2169710,78878531575,5123570367300,152034729,STK
004170,KR7004170007,신세계,KOSPI,,541000,1,6000,1.12,573000,580000,530000,152256,83870160500,5109842921000,9445181,STK
011790,KR7011790003,SKC,KOSPI,,133500,2,-12700,-8.69,149900,150000,131100,608487,85033944050,5055417783000,37868298,STK
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,100100,2,-3400,-3.29,104200,110800,98400,2167492,228494609350,5014692382700,50096827,KSQ
310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,266000,2,-1000,-0.37,265500,270000,255000,95254,25090363250,4894977486000,18402171,KSQ
108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,328500,2,-12500,-3.67,348000,371000,315000,531033,184982027750,4814833698000,14657028,KSQ
023530,KR7023530009,롯데쇼핑,KOSPI,,169800,2,-5900,-3.36,176500,178000,163900,168727,29091173950,4803430599000,28288755,STK
095340,KR7095340006,ISC,KOSDAQ GLOBAL,우량기업부,224500,2,-23000,-9.29,246500,255500,221000,245327,57930741250,4758739521000,21197058,KSQ
002380,KR7002380004,KCC,KOSPI,,534000,2,-43000,-7.45,577000,592000,524000,50359,27641014500,4745375514000,8886471,STK
175330,KR7175330000,JB금융지주,KOSPI,,24950,2,-700,-2.73,25450,26100,24750,1046328,26359029000,4696926920800,188253584,STK
088350,KR7088350004,한화생명,KOSPI,,5390,2,-100,-1.82,5500,5990,5260,22735945,128558454595,4681376700000,868530000,STK
319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,41100,2,-2750,-6.27,43500,47300,39650,6795201,301604658200,4577555202900,111376039,KSQ
450080,KR7450080007,에코프로머티,KOSPI,,64500,2,-4500,-6.52,68300,70750,63500,1014385,67498899350,4560511651500,70705607,STK
051900,KR7051900009,LG생활건강,KOSPI,,268000,2,-15000,-5.3,282000,282000,265000,80683,21885721250,4098058216000,15291262,STK
403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,49500,2,-5200,-9.51,54900,56350,48600,2426824,126783876375,4073850000000,82300000,KSQ
178320,KR7178320008,서진시스템,KOSDAQ,중견기업부,67000,1,300,0.45,66800,71300,64300,2127153,145290699550,3989910367000,59550901,KSQ
111770,KR7111770004,영원무역,KOSPI,,89600,1,9300,11.58,85900,92100,83700,204736,18258074350,3970307532800,44311468,STK
004800,KR7004800009,효성,KOSPI,,226000,2,-20000,-8.13,243000,244000,220000,82833,18966929250,3783331982000,16740407,STK
222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,100300,2,-9500,-8.65,111100,111400,98800,819660,85053488400,3757632279300,37463931,KSQ
014680,KR7014680003,한솔케미칼,KOSPI,,326000,2,-10000,-2.98,326500,330000,310000,151289,48201637750,3706683570000,11370195,STK
011170,KR7011170008,롯데케미칼,KOSPI,,86500,2,-5100,-5.57,90400,93100,85100,234538,20643095000,3700073743500,42775419,STK
012510,KR7012510004,더존비즈온,KOSPI,,120000,3,0,0.0,120000,120600,120000,7561,908832050,3647378400000,30394820,STK
011780,KR7011780004,금호석유화학,KOSPI,,144700,2,-4500,-3.02,150000,153000,142400,209819,30858526050,3640264927500,25157325,STK
010170,KR7010170009,대한광통신,KOSDAQ,중견기업부,23000,2,-1750,-7.07,24750,24950,21950,14422067,331318465775,3576170180000,155485660,KSQ
489790,KR7489790006,한화비전,KOSPI,,70600,2,-7600,-9.72,78800,79100,69000,1051420,76426361850,3564480334000,50488390,STK
251270,KR7251270005,넷마블,KOSPI,,43200,2,-850,-1.93,44050,44800,42750,267898,11742040875,3539573467200,81934571,STK
017800,KR7017800004,현대엘리베이터,KOSPI,,90100,2,-3000,-3.22,93300,94700,88500,725513,65687921150,3522223888500,39092385,STK
067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,52900,1,8300,18.61,48000,55500,46300,13141517,690233006125,3515957555400,66464226,KSQ
036460,KR7036460004,한국가스공사,KOSPI,,37850,1,100,0.26,37800,38900,37300,598627,22854422975,3494047050000,92313000,STK
035250,KR7035250000,강원랜드,KOSPI,,16300,1,80,0.49,16170,16560,15960,1227767,20009854420,3487230150000,213940500,STK
145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,282500,2,-3000,-1.05,288000,288500,278000,72792,20684636750,3475889322500,12304033,KSQ
097950,KR7097950000,CJ제일제당,KOSPI,,228500,2,-2000,-0.87,229500,237000,226000,101658,23397165000,3439881501000,15054186,STK
131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,177800,2,-12300,-6.47,189300,194500,172800,421658,77639976800,3436382916400,19327238,KSQ
064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,305000,2,-43500,-12.48,348000,348000,300500,112679,36011377750,3409721880000,11179416,KSQ
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,328000,2,-23000,-6.55,347500,348500,317500,140167,46720443250,3407804544000,10389648,KSQ
226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,166800,1,6300,3.93,161900,173400,155500,470404,79036151250,3386137244400,20300583,KSQ
005850,KR7005850003,에스엘,KOSPI,,71900,1,4000,5.89,69800,72600,63800,677357,46606219350,3339648588000,46448520,STK
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,50500,2,-4500,-8.18,54100,54200,49850,335809,17206062500,3294400779500,65235659,KSQ
302440,KR7302440003,SK바이오사이언스,KOSPI,,41300,2,-1900,-4.4,42900,43200,40900,166848,7001583050,3240255638900,78456553,STK
383220,KR7383220001,F&F,KOSPI,,84200,1,600,0.72,84400,86900,82500,108633,9158708700,3225455715000,38307075,STK
028670,KR7028670008,팬오션,KOSPI,,6030,2,-90,-1.47,6120,6360,5950,4657283,28517979665,3223454157360,534569512,STK
020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,61200,2,-5700,-8.52,68200,72000,59700,445244,28896699150,3204766335600,52365463,STK
357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,410000,2,-71500,-14.85,482500,482500,405500,87141,37391306750,3189212060000,7778566,KSQ
031210,KR7031210008,서울보증보험,KOSPI,,45650,2,-750,-1.62,46200,46650,44800,57242,2598436000,3187355948700,69821598,STK
375500,KR7375500006,DL이앤씨,KOSPI,,80300,2,-4700,-5.53,87200,87500,78500,769129,62819584050,3107097926900,38693623,STK
457190,KR7457190007,이수스페셜티케미컬,KOSPI,,101600,2,-7200,-6.62,110500,111900,99000,331274,34728240650,3070237395200,30218872,STK
263750,KR7263750002,펄어비스,KOSDAQ GLOBAL,우량기업부,47200,2,-3400,-6.72,50100,50100,46350,1341914,64249379400,3032498756000,64247855,KSQ
347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,68800,2,-900,-1.29,71600,73000,67100,446283,31280013700,3013725313600,43804147,KSQ
007340,KR7007340003,DN오토모티브,KOSPI,,50900,1,2600,5.38,48250,53500,46800,903326,46077391750,2978203028500,58510865,STK
001720,KR7001720002,신영증권,KOSPI,,180600,2,-8200,-4.34,192500,193800,176000,41072,7407656300,2969064000000,16440000,STK
483650,KR7483650008,달바글로벌,KOSPI,,236500,2,-23500,-9.04,257000,260000,229500,310883,73675984500,2937694210000,12421540,STK
319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,101400,2,-8400,-7.65,111500,111800,96900,445668,45870922750,2937224799600,28966714,KSQ
032820,KR7032820003,우리기술,KOSDAQ,벤처기업부,17130,2,-1070,-5.88,18380,18390,16780,6752294,117817697025,2930879310660,171096282,KSQ
100790,KR7100790005,미래에셋벤처투자,KOSDAQ,우량기업부,54900,2,-5000,-8.35,60600,63400,52900,2392191,138047401000,2916542406600,53124634,KSQ
139130,KR7139130009,iM금융지주,KOSPI,,18150,2,-1130,-5.86,19080,19140,17830,735691,13442092095,2915336181450,160624583,STK
204320,KR7204320006,HL만도,KOSPI,,61700,2,-1200,-1.91,63100,68000,60000,2179914,140483010100,2897254304000,46957120,STK
043260,KR7043260009,성호전자,KOSDAQ,우량기업부,40650,2,-2150,-5.02,43000,44500,39500,936580,39050069625,2883012754950,70922823,KSQ
012750,KR7012750006,에스원,KOSPI,,75100,2,-900,-1.18,76000,76200,73700,70797,5315659650,2853738267800,37999178,STK
001450,KR7001450006,현대해상,KOSPI,,33350,1,600,1.83,32800,34000,31550,1318912,43291530200,2843029137500,85248250,STK
080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,82300,1,6700,8.86,76000,89100,71100,10724338,887368321000,2834645155900,34442833,KSQ
004990,KR7004990008,롯데지주,KOSPI,,28400,2,-950,-3.24,29650,30250,27950,355201,10233601300,2830451238400,99663776,STK
139480,KR7139480008,이마트,KOSPI,,102500,2,-16200,-13.65,112300,112700,100700,551420,58330917900,2828571447500,27595819,STK
058610,KR7058610007,에스피지,KOSDAQ,우량기업부,126600,2,-4100,-3.14,131500,140300,121400,723652,96886666850,2807653776000,22177360,KSQ
009970,KR7009970005,영원무역홀딩스,KOSPI,,205000,2,-1500,-0.73,212500,221000,202500,87172,18075651750,2767343585000,13499237,STK
237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,131400,2,-11100,-7.79,142600,142600,128900,255644,34202477850,2739417607800,20847927,KSQ
